category,query_group,query,best_rank,url,title,body_char_count,image_count,heading_count,quality_score,quality_eligible,fetch_verdict,collected_at
shopping,digital_it,보조배터리 추천 사용 후기,2,https://blog.naver.com/afterworkduck/224381479277,[내돈내산] 직장인 출퇴근 필수템 보조배터리 추천 | 앤커 맥고 파워뱅크 솔직 후기,1065,10,12,75,True,strong_ok,2026-08-30T00:14:02+09:00
shopping,beauty_body,헤어드라이어 추천 후기,2,https://blog.naver.com/queen0326/224371537497,카이젤 헤어드라이기 BLDC 항공모터 저소음 드라이어 후기,2363,24,10,95,True,strong_ok,2026-08-30T00:14:02+09:00
shopping,beauty_body,선크림 추천 사용 후기,2,https://blog.naver.com/ran07200/224384205033,파데프리 톤업 선크림 추천 누메 더현대 팝업 크림블러셔 사용 후기,1085,13,12,75,True,strong_ok,2026-08-30T00:14:03+09:00
shopping,beauty_body,샴푸 추천 솔직 후기,2,https://blog.naver.com/annie011/224381581570,두피 앰플 추천｜테토쿨 댄드랩 앰플 샴푸 부스터로 써본 솔직 후기,2270,17,12,95,True,strong_ok,2026-08-30T00:14:03+09:00
shopping,beauty_body,홈케어 미용기기 후기 장단점,2,https://blog.naver.com/govl303030/224123208422,EMS V-THERA 마사지기 내돈내산 후기｜미용기기 10만 원대 홈케어 솔직 리뷰,1092,4,12,61,True,strong_ok,2026-08-30T00:14:03+09:00
shopping,living_health,자세교정 방석 후기 장단점,2,https://blog.naver.com/yuahav/224390991325,자세교정 방석 추천｜플라스틱 교정의자 실패 후 갈아탄 핏스테이 허리방석 솔직후기,1492,11,12,87,True,strong_ok,2026-08-30T00:14:03+09:00
shopping,living_health,주방세제 추천 사용 후기,2,https://blog.naver.com/o0obd/224380353230,고체 주방 세제 추천 순하고 성분 좋은 톤 28 저자극 민감성 피부 과일세척도 가능,888,12,12,75,True,strong_ok,2026-08-30T00:14:03+09:00
shopping,living_health,여름 보냉백 추천 후기,2,https://blog.naver.com/archive_joo/224387026789,직장인 도시락 가방 추천 | 수수애 보냉백 한 달 실사용 후기,1357,25,12,87,True,strong_ok,2026-08-30T00:14:04+09:00
shopping,food_supplement,유산균 추천 후기 비교,2,https://blog.naver.com/dpqmsdlwkd/224389367725,"락피도 비타민D 드롭스 400IU / 햇빛 에너지 국민 비타민D 10ml, 1개",2788,12,12,95,True,strong_ok,2026-08-30T00:14:04+09:00
shopping,food_supplement,단백질 보충제 추천 후기,2,https://blog.naver.com/jamijamy/224387881531,머슬헬퍼웨이 단백질 보충제 쉐이크 프로틴 식물성 파우더 초코맛 1kg 1통,3049,13,12,95,True,strong_ok,2026-08-30T00:14:04+09:00
